Item,Keying
health1,1
health2,1
health3,1
health4,1
health5,1
health6,1
health7,1
health8,1
health9,1
health10,1
health11,1
health12,1
health13,1
health14,1
health15,1
health16,1
health17,-1
health18,-1
health19,-1
health20,-1
health21,1
health22,-1
health23,-1
health24,1
health25,1
health26,1
work1,1
work2,1
work3,1
work4,1
work5,1
work6,1
work7,1
work8,1
work9,1
work10,1
work11,1
work12,1
work13,1
work14,1
work15,1
work16,1
work17,1
fcon1,-1
fcon2,1
fcon3,1
fcon4,-1
fcon5,1
fcon6,1
fcon7,-1
fcon8,-1
fcon9,-1
fcon10,-1
fcon11,1
fcon12,1
fcon13,1
fagr1,1
fagr2,-1
fagr3,1
fagr4,-1
fagr5,1
fagr6,1
fagr7,-1
fagr8,-1
fagr9,1
fagr10,1
fagr11,-1
fagr12,-1
fagr13,1
fope1,-1
fope2,1
fope3,-1
fope4,1
fope5,1
fope6,-1
fope7,1
fope8,-1
fope9,-1
fope10,1
fope11,1
fope12,-1
fope13,1
fext1,-1
fext2,1
fext3,1
fext4,-1
fext5,1
fext6,1
fext7,-1
fext8,-1
fext9,1
fext10,1
fext11,-1
fext12,-1
fext13,1
fneg1,-1
fneg2,1
fneg3,-1
fneg4,1
fneg5,1
fneg6,1
fneg7,-1
fneg8,-1
fneg9,-1
fneg10,1
fneg11,-1
fneg12,1
fneg13,1
